time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),hour,year
2016-01-01 12:00:00,4.8,0.0,0.0,80.0,56.0,0.0,99.0,9.5,261.0,12,2016
2016-01-02 12:00:00,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,264.0,12,2016
2016-01-03 12:00:00,0.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,231.0,12,2016
2016-01-04 12:00:00,0.1,0.0,0.0,58.0,60.0,7.0,0.0,16.5,324.0,12,2016
2016-01-05 12:00:00,-10.1,0.0,0.0,0.0,0.0,0.0,0.0,18.1,354.0,12,2016
2016-01-06 12:00:00,-7.1,0.0,0.0,0.0,0.0,0.0,0.0,8.2,247.0,12,2016
2016-01-07 12:00:00,-3.3,0.0,0.0,39.0,27.0,0.0,49.0,3.1,291.0,12,2016
2016-01-08 12:00:00,-1.0,0.0,0.0,9.0,10.0,0.0,0.0,10.4,20.0,12,2016
2016-01-09 12:00:00,3.9,0.0,0.0,100.0,98.0,80.0,73.0,10.0,49.0,12,2016
2016-01-10 12:00:00,11.1,4.1,4.1,100.0,100.0,99.0,100.0,28.5,92.0,12,2016
2016-01-11 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,261.0,12,2016
2016-01-12 12:00:00,-3.3,0.0,0.0,27.0,0.0,24.0,43.0,8.1,122.0,12,2016
2016-01-13 12:00:00,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,26.0,266.0,12,2016
2016-01-14 12:00:00,-4.0,0.0,0.0,100.0,83.0,93.0,0.0,11.0,238.0,12,2016
2016-01-15 12:00:00,0.8,0.0,0.0,49.0,15.0,16.0,87.0,2.3,342.0,12,2016
2016-01-16 12:00:00,5.3,0.4,0.4,100.0,91.0,91.0,17.0,10.3,335.0,12,2016
2016-01-17 12:00:00,1.5,0.0,0.0,64.0,0.0,56.0,100.0,6.6,338.0,12,2016
2016-01-18 12:00:00,-4.6,0.0,0.0,32.0,34.0,2.0,0.0,24.2,295.0,12,2016
2016-01-19 12:00:00,-7.7,0.0,0.0,0.0,0.0,0.0,0.0,20.9,270.0,12,2016
2016-01-20 12:00:00,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,8.9,291.0,12,2016
2016-01-21 12:00:00,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,313.0,12,2016
2016-01-22 12:00:00,-6.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,352.0,12,2016
2016-01-23 12:00:00,-3.2,2.9,0.0,100.0,20.0,97.0,80.0,32.3,45.0,12,2016
2016-01-24 12:00:00,-6.3,0.0,0.0,0.0,0.0,0.0,0.0,18.4,343.0,12,2016
2016-01-25 12:00:00,-7.4,0.0,0.0,2.0,0.0,1.0,6.0,7.1,319.0,12,2016
2016-01-26 12:00:00,-2.0,0.0,0.0,30.0,0.0,2.0,96.0,9.3,208.0,12,2016
2016-01-27 12:00:00,4.3,0.0,0.0,65.0,0.0,59.0,100.0,10.5,292.0,12,2016
2016-01-28 12:00:00,-10.1,0.0,0.0,44.0,49.0,0.0,0.0,2.7,337.0,12,2016
2016-01-29 12:00:00,-3.2,0.0,0.0,0.0,0.0,0.0,0.0,5.9,284.0,12,2016
2016-01-30 12:00:00,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,8.5,282.0,12,2016
2016-01-31 12:00:00,-0.1,0.0,0.0,78.0,0.0,81.0,97.0,7.9,231.0,12,2016
2016-02-01 12:00:00,4.4,0.0,0.0,32.0,0.0,7.0,91.0,12.4,234.0,12,2016
2016-02-02 12:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,9.2,312.0,12,2016
2016-02-03 12:00:00,6.3,0.0,0.0,100.0,99.0,100.0,100.0,13.8,133.0,12,2016
2016-02-04 12:00:00,12.0,0.1,0.1,100.0,100.0,24.0,99.0,8.7,277.0,12,2016
2016-02-05 12:00:00,0.8,2.4,0.0,90.0,0.0,100.0,100.0,19.4,350.0,12,2016
2016-02-06 12:00:00,-2.3,0.0,0.0,29.0,0.0,0.0,96.0,8.8,235.0,12,2016
2016-02-07 12:00:00,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,225.0,12,2016
2016-02-08 12:00:00,2.6,0.0,0.0,93.0,4.0,99.0,100.0,13.9,25.0,12,2016
2016-02-09 12:00:00,-2.6,0.0,0.0,100.0,97.0,99.0,0.0,10.9,73.0,12,2016
2016-02-10 12:00:00,0.3,0.1,0.0,100.0,32.0,94.0,92.0,7.6,239.0,12,2016
2016-02-11 12:00:00,-4.1,0.0,0.0,1.0,0.0,1.0,0.0,20.7,287.0,12,2016
2016-02-12 12:00:00,-8.2,0.0,0.0,0.0,0.0,0.0,0.0,10.4,290.0,12,2016
2016-02-13 12:00:00,-5.7,0.0,0.0,20.0,5.0,26.0,0.0,18.4,305.0,12,2016
2016-02-14 12:00:00,-16.8,0.0,0.0,0.0,0.0,0.0,0.0,18.4,321.0,12,2016
2016-02-15 12:00:00,-9.7,0.0,0.0,60.0,3.0,50.0,92.0,3.7,61.0,12,2016
2016-02-16 12:00:00,8.5,0.0,0.0,100.0,20.0,99.0,100.0,25.7,162.0,12,2016
2016-02-17 12:00:00,1.2,0.0,0.0,61.0,0.0,58.0,86.0,6.5,267.0,12,2016
2016-02-18 12:00:00,-2.5,0.0,0.0,6.0,0.0,0.0,20.0,12.3,328.0,12,2016
2016-02-19 12:00:00,-5.9,0.0,0.0,5.0,0.0,0.0,18.0,4.5,14.0,12,2016
2016-02-20 12:00:00,5.1,0.0,0.0,66.0,33.0,60.0,0.0,13.6,233.0,12,2016
2016-02-21 12:00:00,4.7,0.0,0.0,14.0,0.0,0.0,48.0,7.2,276.0,12,2016
2016-02-22 12:00:00,1.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,345.0,12,2016
2016-02-23 12:00:00,1.8,0.0,0.0,100.0,36.0,82.0,100.0,14.5,46.0,12,2016
2016-02-24 12:00:00,4.5,0.1,0.1,100.0,100.0,99.0,82.0,17.9,56.0,12,2016
2016-02-25 12:00:00,11.0,0.0,0.0,44.0,47.0,3.0,0.0,14.5,203.0,12,2016
2016-02-26 12:00:00,0.9,0.0,0.0,19.0,21.0,0.0,0.0,20.9,294.0,12,2016
2016-02-27 12:00:00,-3.3,0.0,0.0,54.0,6.0,37.0,88.0,10.5,301.0,12,2016
2016-02-28 12:00:00,2.2,0.0,0.0,13.0,0.0,19.0,4.0,13.3,237.0,12,2016
2016-02-29 12:00:00,7.0,0.0,0.0,17.0,0.0,0.0,58.0,12.6,211.0,12,2016
2016-03-01 12:00:00,3.7,0.0,0.0,13.0,0.0,12.0,20.0,9.4,342.0,12,2016
2016-03-02 12:00:00,9.9,0.2,0.2,53.0,1.0,45.0,85.0,20.5,260.0,12,2016
2016-03-03 12:00:00,-2.7,0.0,0.0,0.0,0.0,0.0,0.0,15.6,322.0,12,2016
2016-03-04 12:00:00,-1.1,0.3,0.0,100.0,99.0,100.0,100.0,13.9,59.0,12,2016
2016-03-05 12:00:00,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,11.6,334.0,12,2016
2016-03-06 12:00:00,-0.3,0.0,0.0,40.0,16.0,42.0,0.0,9.0,5.0,12,2016
2016-03-07 12:00:00,1.0,0.0,0.0,8.0,0.0,13.0,0.0,11.5,212.0,12,2016
2016-03-08 12:00:00,5.8,0.0,0.0,17.0,0.0,23.0,9.0,5.8,356.0,12,2016
2016-03-09 12:00:00,5.4,0.0,0.0,19.0,0.0,0.0,63.0,5.9,232.0,12,2016
2016-03-10 12:00:00,12.5,0.0,0.0,53.0,0.0,53.0,70.0,8.9,238.0,12,2016
2016-03-11 12:00:00,13.5,0.2,0.2,84.0,1.0,91.0,94.0,7.1,240.0,12,2016
2016-03-12 12:00:00,3.6,0.0,0.0,5.0,0.0,0.0,18.0,5.4,42.0,12,2016
2016-03-13 12:00:00,9.0,0.0,0.0,32.0,0.0,3.0,99.0,7.1,330.0,12,2016
2016-03-14 12:00:00,7.8,0.7,0.7,100.0,79.0,100.0,67.0,19.1,78.0,12,2016
2016-03-15 12:00:00,7.5,0.0,0.0,100.0,100.0,0.0,57.0,15.8,21.0,12,2016
2016-03-16 12:00:00,6.6,0.0,0.0,68.0,54.0,0.0,64.0,1.1,18.0,12,2016
2016-03-17 12:00:00,7.0,0.0,0.0,62.0,18.0,77.0,0.0,4.9,253.0,12,2016
2016-03-18 12:00:00,8.2,0.0,0.0,0.0,0.0,0.0,0.0,16.7,284.0,12,2016
2016-03-19 12:00:00,2.5,0.0,0.0,23.0,0.0,6.0,63.0,7.2,357.0,12,2016
2016-03-20 12:00:00,0.8,0.0,0.0,10.0,0.0,16.0,0.0,17.3,45.0,12,2016
2016-03-21 12:00:00,1.2,0.0,0.0,23.0,0.0,38.0,0.0,6.6,299.0,12,2016
2016-03-22 12:00:00,1.6,0.0,0.0,3.0,0.0,0.0,10.0,12.1,253.0,12,2016
2016-03-23 12:00:00,9.6,0.0,0.0,77.0,0.0,84.0,88.0,13.5,241.0,12,2016
2016-03-24 12:00:00,6.5,0.0,0.0,40.0,13.0,1.0,92.0,15.3,56.0,12,2016
2016-03-25 12:00:00,12.7,0.3,0.3,89.0,12.0,80.0,100.0,13.7,203.0,12,2016
2016-03-26 12:00:00,4.2,0.0,0.0,8.0,4.0,0.0,14.0,12.5,12.0,12,2016
2016-03-27 12:00:00,6.3,0.0,0.0,100.0,100.0,0.0,99.0,8.7,97.0,12,2016
2016-03-28 12:00:00,7.0,0.4,0.4,100.0,100.0,100.0,100.0,12.5,78.0,12,2016
2016-03-29 12:00:00,7.4,0.0,0.0,0.0,0.0,0.0,0.0,22.3,291.0,12,2016
2016-03-30 12:00:00,2.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,265.0,12,2016
2016-03-31 12:00:00,11.3,0.0,0.0,29.0,0.0,0.0,98.0,19.0,213.0,12,2016
2016-04-01 12:00:00,17.2,0.0,0.0,100.0,98.0,84.0,100.0,13.9,190.0,12,2016
2016-04-02 12:00:00,11.0,0.3,0.3,71.0,1.0,92.0,48.0,2.6,124.0,12,2016
2016-04-03 12:00:00,2.1,0.0,0.0,22.0,15.0,14.0,0.0,37.7,297.0,12,2016
2016-04-04 12:00:00,4.7,0.3,0.3,89.0,0.0,100.0,98.0,11.4,72.0,12,2016
2016-04-05 12:00:00,-2.0,0.0,0.0,3.0,1.0,3.0,0.0,24.5,3.0,12,2016
2016-04-06 12:00:00,-0.2,0.0,0.0,3.0,0.0,0.0,9.0,1.6,27.0,12,2016
2016-04-07 12:00:00,12.2,0.0,0.0,84.0,11.0,74.0,100.0,21.3,178.0,12,2016
2016-04-08 12:00:00,7.2,0.3,0.3,16.0,12.0,9.0,0.0,15.9,245.0,12,2016
2016-04-09 12:00:00,3.8,0.0,0.0,90.0,4.0,95.0,99.0,9.3,74.0,12,2016
2016-04-10 12:00:00,1.1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,311.0,12,2016
2016-04-11 12:00:00,8.0,0.0,0.0,63.0,2.0,98.0,7.0,14.9,187.0,12,2016
2016-04-12 12:00:00,13.0,0.8,0.8,100.0,39.0,100.0,100.0,14.5,210.0,12,2016
2016-04-13 12:00:00,5.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,344.0,12,2016
2016-04-14 12:00:00,6.3,0.0,0.0,0.0,0.0,0.0,0.0,11.1,36.0,12,2016
2016-04-15 12:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,20.0,12,2016
2016-04-16 12:00:00,7.8,0.0,0.0,15.0,0.0,0.0,49.0,9.8,36.0,12,2016
2016-04-17 12:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,336.0,12,2016
2016-04-18 12:00:00,12.1,0.0,0.0,19.0,0.0,0.0,62.0,10.4,2.0,12,2016
2016-04-19 12:00:00,15.1,0.0,0.0,26.0,0.0,22.0,41.0,13.4,306.0,12,2016
2016-04-20 12:00:00,11.4,0.0,0.0,0.0,0.0,0.0,0.0,8.9,328.0,12,2016
2016-04-21 12:00:00,9.4,0.0,0.0,23.0,0.0,0.0,76.0,10.0,232.0,12,2016
2016-04-22 12:00:00,15.6,0.0,0.0,53.0,8.0,26.0,100.0,5.3,208.0,12,2016
2016-04-23 12:00:00,16.4,0.1,0.1,100.0,35.0,99.0,50.0,12.0,351.0,12,2016
2016-04-24 12:00:00,9.6,0.0,0.0,0.0,0.0,0.0,0.0,10.8,4.0,12,2016
2016-04-25 12:00:00,11.5,0.0,0.0,40.0,0.0,61.0,10.0,3.2,27.0,12,2016
2016-04-26 12:00:00,11.3,0.0,0.0,38.0,7.0,4.0,97.0,9.9,71.0,12,2016
2016-04-27 12:00:00,8.6,0.0,0.0,97.0,71.0,11.0,89.0,7.2,37.0,12,2016
2016-04-28 12:00:00,9.7,0.0,0.0,29.0,0.0,0.0,98.0,12.2,43.0,12,2016
2016-04-29 12:00:00,10.0,0.0,0.0,57.0,12.0,77.0,0.0,11.7,79.0,12,2016
2016-04-30 12:00:00,9.2,0.0,0.0,100.0,95.0,82.0,0.0,4.3,5.0,12,2016
2016-05-01 12:00:00,9.5,0.1,0.1,100.0,35.0,100.0,100.0,4.9,144.0,12,2016
2016-05-02 12:00:00,9.1,0.0,0.0,100.0,100.0,17.0,95.0,7.2,90.0,12,2016
2016-05-03 12:00:00,11.6,1.9,1.9,100.0,97.0,98.0,100.0,10.5,52.0,12,2016
2016-05-04 12:00:00,10.2,0.0,0.0,100.0,98.0,69.0,0.0,10.8,69.0,12,2016
2016-05-05 12:00:00,9.0,0.0,0.0,100.0,100.0,7.0,100.0,17.4,27.0,12,2016
2016-05-06 12:00:00,10.0,1.2,1.2,100.0,100.0,97.0,22.0,14.8,41.0,12,2016
2016-05-07 12:00:00,10.3,0.2,0.2,100.0,100.0,67.0,1.0,11.5,58.0,12,2016
2016-05-08 12:00:00,11.0,0.4,0.4,80.0,40.0,68.0,10.0,8.6,202.0,12,2016
2016-05-09 12:00:00,12.2,0.0,0.0,2.0,0.0,4.0,0.0,10.6,246.0,12,2016
2016-05-10 12:00:00,10.9,0.0,0.0,30.0,0.0,0.0,99.0,1.8,360.0,12,2016
2016-05-11 12:00:00,13.2,0.0,0.0,32.0,0.0,25.0,57.0,6.5,3.0,12,2016
2016-05-12 12:00:00,15.1,0.0,0.0,0.0,0.0,0.0,0.0,8.4,40.0,12,2016
2016-05-13 12:00:00,15.3,0.0,0.0,78.0,44.0,17.0,94.0,5.4,132.0,12,2016
2016-05-14 12:00:00,16.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,281.0,12,2016
2016-05-15 12:00:00,11.3,0.0,0.0,2.0,2.0,0.0,0.0,19.4,281.0,12,2016
2016-05-16 12:00:00,8.2,0.0,0.0,0.0,0.0,0.0,0.0,23.8,273.0,12,2016
2016-05-17 12:00:00,13.3,0.0,0.0,88.0,0.0,99.0,95.0,10.5,243.0,12,2016
2016-05-18 12:00:00,12.8,0.0,0.0,83.0,0.0,90.0,96.0,11.2,15.0,12,2016
2016-05-19 12:00:00,13.1,0.0,0.0,47.0,0.0,78.0,0.0,1.1,270.0,12,2016
2016-05-20 12:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,7.6,329.0,12,2016
2016-05-21 12:00:00,14.4,0.0,0.0,86.0,0.0,93.0,100.0,4.7,99.0,12,2016
2016-05-22 12:00:00,13.3,0.0,0.0,100.0,85.0,100.0,90.0,7.1,345.0,12,2016
2016-05-23 12:00:00,14.6,0.0,0.0,71.0,79.0,0.0,0.0,2.4,333.0,12,2016
2016-05-24 12:00:00,15.6,1.7,1.7,100.0,33.0,100.0,97.0,6.6,299.0,12,2016
2016-05-25 12:00:00,17.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,277.0,12,2016
2016-05-26 12:00:00,20.6,0.0,0.0,0.0,0.0,0.0,1.0,4.9,253.0,12,2016
2016-05-27 12:00:00,20.9,0.0,0.0,26.0,0.0,22.0,44.0,4.4,171.0,12,2016
2016-05-28 12:00:00,22.3,0.0,0.0,86.0,4.0,96.0,81.0,7.4,227.0,12,2016
2016-05-29 12:00:00,22.5,0.0,0.0,59.0,14.0,37.0,81.0,8.6,237.0,12,2016
2016-05-30 12:00:00,20.6,0.3,0.3,100.0,95.0,98.0,93.0,2.6,164.0,12,2016
2016-05-31 12:00:00,22.3,0.0,0.0,56.0,18.0,18.0,95.0,3.6,360.0,12,2016
2016-06-01 12:00:00,21.8,0.0,0.0,30.0,0.0,18.0,65.0,9.0,29.0,12,2016
2016-06-02 12:00:00,17.6,0.0,0.0,88.0,95.0,0.0,8.0,7.9,74.0,12,2016
2016-06-03 12:00:00,18.0,1.5,1.5,100.0,99.0,100.0,99.0,7.2,87.0,12,2016
2016-06-04 12:00:00,21.0,0.0,0.0,100.0,95.0,2.0,47.0,6.1,230.0,12,2016
2016-06-05 12:00:00,19.4,0.6,0.6,100.0,53.0,74.0,100.0,12.0,129.0,12,2016
2016-06-06 12:00:00,21.5,0.0,0.0,1.0,0.0,1.0,0.0,11.3,263.0,12,2016
2016-06-07 12:00:00,22.7,0.0,0.0,3.0,0.0,5.0,0.0,6.3,246.0,12,2016
2016-06-08 12:00:00,17.5,0.0,0.0,20.0,0.0,0.0,68.0,11.6,292.0,12,2016
2016-06-09 12:00:00,14.5,0.0,0.0,0.0,0.0,0.0,0.0,22.4,296.0,12,2016
2016-06-10 12:00:00,16.3,0.0,0.0,0.0,0.0,0.0,0.0,14.8,299.0,12,2016
2016-06-11 12:00:00,16.8,0.0,0.0,53.0,7.0,30.0,96.0,5.8,173.0,12,2016
2016-06-12 12:00:00,26.6,0.0,0.0,0.0,0.0,0.0,0.0,17.0,266.0,12,2016
2016-06-13 12:00:00,16.2,0.0,0.0,0.0,0.0,0.0,0.0,19.6,324.0,12,2016
2016-06-14 12:00:00,16.7,0.0,0.0,12.0,0.0,0.0,41.0,12.2,332.0,12,2016
2016-06-15 12:00:00,19.9,0.0,0.0,21.0,0.0,0.0,71.0,6.1,310.0,12,2016
2016-06-16 12:00:00,20.0,0.0,0.0,70.0,1.0,65.0,100.0,6.6,112.0,12,2016
2016-06-17 12:00:00,20.5,0.0,0.0,64.0,0.0,56.0,100.0,9.7,22.0,12,2016
2016-06-18 12:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,302.0,12,2016
2016-06-19 12:00:00,20.8,0.0,0.0,31.0,0.0,44.0,15.0,5.2,295.0,12,2016
2016-06-20 12:00:00,19.6,0.0,0.0,6.0,0.0,9.0,1.0,2.5,90.0,12,2016
2016-06-21 12:00:00,23.2,0.0,0.0,28.0,0.0,0.0,93.0,8.6,327.0,12,2016
2016-06-22 12:00:00,20.3,0.0,0.0,8.0,0.0,14.0,0.0,2.9,150.0,12,2016
2016-06-23 12:00:00,20.8,0.0,0.0,69.0,0.0,65.0,100.0,1.5,315.0,12,2016
2016-06-24 12:00:00,21.9,0.0,0.0,27.0,1.0,29.0,30.0,12.5,44.0,12,2016
2016-06-25 12:00:00,19.7,0.0,0.0,20.0,5.0,25.0,2.0,7.4,61.0,12,2016
2016-06-26 12:00:00,20.7,0.0,0.0,21.0,7.0,17.0,16.0,3.9,248.0,12,2016
2016-06-27 12:00:00,19.7,0.0,0.0,28.0,3.0,2.0,79.0,9.4,203.0,12,2016
2016-06-28 12:00:00,21.8,0.2,0.2,100.0,100.0,41.0,93.0,8.9,153.0,12,2016
2016-06-29 12:00:00,22.2,0.0,0.0,23.0,24.0,2.0,0.0,8.2,331.0,12,2016
2016-06-30 12:00:00,22.2,0.0,0.0,1.0,0.0,2.0,0.0,6.4,344.0,12,2016
2016-07-01 12:00:00,22.8,0.0,0.0,55.0,21.0,33.0,54.0,5.8,150.0,12,2016
2016-07-02 12:00:00,20.6,0.0,0.0,9.0,10.0,0.0,0.0,16.9,308.0,12,2016
2016-07-03 12:00:00,20.4,0.0,0.0,39.0,4.0,11.0,96.0,4.2,329.0,12,2016
2016-07-04 12:00:00,21.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3,270.0,12,2016
2016-07-05 12:00:00,22.3,0.0,0.0,100.0,100.0,93.0,69.0,6.4,333.0,12,2016
2016-07-06 12:00:00,26.3,0.0,0.0,3.0,0.0,2.0,5.0,2.3,342.0,12,2016
2016-07-07 12:00:00,26.5,0.0,0.0,11.0,0.0,17.0,3.0,2.3,141.0,12,2016
2016-07-08 12:00:00,26.1,0.0,0.0,15.0,0.0,13.0,24.0,9.8,17.0,12,2016
2016-07-09 12:00:00,19.7,0.0,0.0,100.0,100.0,100.0,1.0,11.1,115.0,12,2016
2016-07-10 12:00:00,21.0,0.0,0.0,44.0,46.0,5.0,0.0,3.1,234.0,12,2016
2016-07-11 12:00:00,20.4,0.0,0.0,36.0,10.0,0.0,90.0,10.9,6.0,12,2016
2016-07-12 12:00:00,20.6,0.0,0.0,22.0,1.0,0.0,70.0,4.6,231.0,12,2016
2016-07-13 12:00:00,23.2,0.0,0.0,29.0,11.0,31.0,0.0,5.5,203.0,12,2016
2016-07-14 12:00:00,25.1,0.0,0.0,98.0,86.0,12.0,45.0,9.0,180.0,12,2016
2016-07-15 12:00:00,26.8,0.0,0.0,10.0,2.0,11.0,5.0,5.1,274.0,12,2016
2016-07-16 12:00:00,25.7,0.0,0.0,19.0,0.0,20.0,22.0,5.5,32.0,12,2016
2016-07-17 12:00:00,23.8,0.0,0.0,10.0,0.0,2.0,30.0,3.3,257.0,12,2016
2016-07-18 12:00:00,25.6,0.0,0.0,0.0,0.0,0.0,0.0,9.9,226.0,12,2016
2016-07-19 12:00:00,23.9,0.0,0.0,1.0,0.0,0.0,4.0,12.0,311.0,12,2016
2016-07-20 12:00:00,21.2,0.0,0.0,71.0,27.0,77.0,0.0,7.5,17.0,12,2016
2016-07-21 12:00:00,22.1,0.0,0.0,0.0,0.0,0.0,0.0,4.8,283.0,12,2016
2016-07-22 12:00:00,24.3,0.0,0.0,23.0,0.0,17.0,42.0,15.0,235.0,12,2016
2016-07-23 12:00:00,27.5,0.0,0.0,1.0,0.0,1.0,0.0,11.4,283.0,12,2016
2016-07-24 12:00:00,24.5,0.0,0.0,23.0,0.0,0.0,76.0,2.8,310.0,12,2016
2016-07-25 12:00:00,24.3,0.8,0.8,84.0,9.0,79.0,95.0,9.5,169.0,12,2016
2016-07-26 12:00:00,24.4,0.0,0.0,10.0,0.0,0.0,33.0,8.9,310.0,12,2016
2016-07-27 12:00:00,24.5,0.0,0.0,1.0,0.0,0.0,2.0,4.6,18.0,12,2016
2016-07-28 12:00:00,24.7,0.0,0.0,1.0,0.0,0.0,4.0,3.8,343.0,12,2016
2016-07-29 12:00:00,22.7,3.0,3.0,100.0,88.0,100.0,100.0,10.3,25.0,12,2016
2016-07-30 12:00:00,24.1,0.0,0.0,97.0,78.0,25.0,39.0,1.1,342.0,12,2016
2016-07-31 12:00:00,24.1,0.4,0.4,100.0,77.0,100.0,47.0,8.6,88.0,12,2016
2016-08-01 12:00:00,22.1,0.1,0.1,100.0,100.0,10.0,51.0,9.3,54.0,12,2016
2016-08-02 12:00:00,21.2,0.1,0.1,67.0,57.0,22.0,9.0,10.5,59.0,12,2016
2016-08-03 12:00:00,20.3,0.0,0.0,0.0,0.0,0.0,0.0,6.4,43.0,12,2016
2016-08-04 12:00:00,20.7,0.0,0.0,22.0,14.0,0.0,32.0,3.1,36.0,12,2016
2016-08-05 12:00:00,21.3,0.0,0.0,6.0,7.0,0.0,0.0,3.8,229.0,12,2016
2016-08-06 12:00:00,24.3,0.0,0.0,100.0,100.0,23.0,23.0,8.4,223.0,12,2016
2016-08-07 12:00:00,23.3,0.0,0.0,0.0,0.0,0.0,0.0,8.1,302.0,12,2016
2016-08-08 12:00:00,22.6,0.0,0.0,7.0,1.0,5.0,11.0,5.8,360.0,12,2016
2016-08-09 12:00:00,23.4,0.0,0.0,0.0,0.0,0.0,0.0,4.4,9.0,12,2016
2016-08-10 12:00:00,25.1,0.9,0.9,100.0,87.0,16.0,87.0,5.4,180.0,12,2016
2016-08-11 12:00:00,26.9,1.1,1.1,100.0,99.0,61.0,96.0,6.6,229.0,12,2016
2016-08-12 12:00:00,26.2,0.0,0.0,91.0,99.0,3.0,0.0,14.9,238.0,12,2016
2016-08-13 12:00:00,27.6,0.0,0.0,100.0,88.0,21.0,94.0,8.0,216.0,12,2016
2016-08-14 12:00:00,27.7,0.0,0.0,6.0,0.0,9.0,2.0,9.1,252.0,12,2016
2016-08-15 12:00:00,26.2,0.0,0.0,33.0,0.0,20.0,69.0,3.7,331.0,12,2016
2016-08-16 12:00:00,26.1,0.0,0.0,55.0,30.0,36.0,22.0,2.3,129.0,12,2016
2016-08-17 12:00:00,26.0,0.0,0.0,21.0,12.0,0.0,33.0,14.4,273.0,12,2016
2016-08-18 12:00:00,23.3,0.0,0.0,100.0,59.0,98.0,2.0,4.7,9.0,12,2016
2016-08-19 12:00:00,24.5,0.0,0.0,18.0,0.0,18.0,24.0,11.5,2.0,12,2016
2016-08-20 12:00:00,23.6,0.1,0.1,46.0,28.0,34.0,0.0,6.6,29.0,12,2016
2016-08-21 12:00:00,25.0,0.0,0.0,57.0,46.0,26.0,0.0,8.4,110.0,12,2016
2016-08-22 12:00:00,21.7,0.0,0.0,0.0,0.0,0.0,0.0,14.5,314.0,12,2016
2016-08-23 12:00:00,18.5,0.0,0.0,0.0,0.0,0.0,0.0,4.8,297.0,12,2016
2016-08-24 12:00:00,20.7,0.0,0.0,0.0,0.0,0.0,0.0,6.5,276.0,12,2016
2016-08-25 12:00:00,21.7,0.0,0.0,48.0,42.0,0.0,33.0,8.9,207.0,12,2016
2016-08-26 12:00:00,24.7,0.0,0.0,86.0,75.0,27.0,9.0,10.4,250.0,12,2016
2016-08-27 12:00:00,23.1,0.0,0.0,21.0,0.0,0.0,69.0,9.7,15.0,12,2016
2016-08-28 12:00:00,22.2,0.0,0.0,9.0,1.0,0.0,27.0,1.5,14.0,12,2016
2016-08-29 12:00:00,23.7,0.0,0.0,31.0,0.0,6.0,92.0,8.7,265.0,12,2016
